guid,date,title,desc,duration,category
22582933,2026-02-10,"Jimmy Lai's son: ""We expected a very heavy sentence but it makes it no less devastating""","Sebastien Lai, son of pro-democracy media tycoon Jimmy Lai, discusses his father's 20 year sentencing in Hong Kong on Monday for ""colluding with foreign forces"" under the city's controversial national security law.",478,Other
22582934,2026-02-10,"""Prison is not an appropriate environment"" for mental health treatment","Mark Kelly, Chief Inspector of Prisons and Peter Hughes, General Secretary of the Psychiatric Nurses Association, react to the RTÉ Investigates programme which outlined an increase in psychiatric patients being held in prison while waiting for a place in the Central Mental Hospital.",585,Health / HSE
22582935,2026-02-10,8.35am Sports News,Presented by Darren Frehill.,354,Sports
22582936,2026-02-10,French Govt's plan to encourage 29-year-olds to have babies,"Catherine Guilyardi, Paris-based Journalist, reports on the French government's plan to send a letter to all 29-year-olds, encouraging them to have babies before it's too late.",157,Other
22582937,2026-02-10,"Over 20,000 apartments waiting for fire safety grants","Reporter, Aisling Kenny highlights the 20,000 apartments built during the Celtic Tiger years which have been waiting up to two years to receive grants for urgent fire safety works.",487,Housing
22582938,2026-02-10,Two Irish restaurants earn first Michelin stars,"The Pullman Chef, Angelo Vagiotis on being awarded a Michelin star and The Business Post's Gillian Nelis on Ireland's Michelin successes.",233,Arts / Culture
22582496,2026-02-09,7.10am It Says In The Papers,Presented by Shane McElhatton.,202,It Says in Papers
22582497,2026-02-09,McSweeney resigns as British PM's chief of staff over Mandelson appointment,"George Parker, Financial Times political editor, on the resignation of Morgan McSweeney as chief of staff to British Prime Minister Keir Starmer.",345,Other
22582498,2026-02-09,Maxwell to be questioned by US Congress in Epstein probe,"David Smith, Washington Bureau Chief with The Guardian, on Ghislaine Maxwell testifying before US congress today.",418,International
22582499,2026-02-09,The physical book still trumps the glow of the screen for readers,"Stuart Hamilton, Head of Libraries Development at the Local Government Management Agency, on traditional paperbacks and hardbacks remaining the most people way to read books in Ireland.",407,International
22582500,2026-02-09,7.35am Sports News,Presented by Darren Frehill.,392,Sports
22582501,2026-02-09,"Surge in actively psychotic patients held in prisons, RTÉ finds",Conor Ryan of RTÉ Investigates discusses how acutely mentally ill and actively psychotic people are being held in prison because a lack of appropriate medical facilities.,354,Crime / Justice
22582502,2026-02-09,7.50am Business News,Presented by Adam Maguire.,291,Business
22582503,2026-02-09,Weather Forecast,Presented by Rebecca Cantwell.,137,Weather
22582504,2026-02-09,8am News Bulletin,Presented by Susan Jackson.,344,News Bulletin
22582505,2026-02-09,8.10am It Says In The Papers,Presented by Shane McElhatton.,232,It Says in Papers
22582506,2026-02-09,Starmer's former Director of Strategic Communications on McSweeney's resignation,"James Lyons, former Director of Strategic Communications at 10 Downing Street, on the fallout of Morgan McSweeney's resignation as chief of staff for the British Prime Minister over the Peter Mandelson scandal.",515,Arts / Culture
22582507,2026-02-09,Process of buying home leads to overbidding - ESRI,"Dr. Deirdre Robertson, Senior Research Officer with the ESRI, on their latest research into homebuying in Ireland.",309,Other
22582508,2026-02-09,Hong Kong court sentences Jimmy Lai to 20 years in jail,"Shibani Mahtani, who worked for the Washington Post as its Hong Kong and Southeast Asia bureau chief, analyses the jailing of Jimmy Lai, media tycoon and a fierce defender of democracy in his homeland of Hong Kong.",343,Crime / Justice
